eventType: start, pid: 127418, name: chromium
eventType: start, pid: 185729, name: nautilus
eventType: pause, pid: 127418, name: chromium
eventType: pause, pid: 185729, name: nautilus
eventType: resume, pid: 127418, name: chromium
eventType: pause, pid: 127418, name: chromium
eventType: resume, pid: 185729, name: nautilus
eventType: pause, pid: 185729, name: nautilus
eventType: resume, pid: 185729, name: nautilus
eventType: pause, pid: 185729, name: nautilus
eventType: resume, pid: 127418, name: chromium
eventType: pause, pid: 127418, name: chromium
eventType: end, pid: 185729, name: nautilus
eventType: resume, pid: 127418, name: chromium
eventType: pause, pid: 127418, name: chromium
eventType: resume, pid: 127418, name: chromium
eventType: start, pid: 127418, name: chromium
eventType: pause, pid: 127418, name: chromium
eventType: resume, pid: 127418, name: chromium
eventType: pause, pid: 127418, name: chromium
eventType: start, pid: 121863, name: ghostty
